iso3c,region,country,income_id,gdp,population,food_organic_waste,glass,metal,other,paper_cardboard,plastic
AGO,SSF,Angola,LMC,8036.6904296875,25096150,51.8,6.7,4.4000000000000004,11.5,11.9,13.5
ALB,ECS,Albania,UMC,13724.05859375,2854191,51.4,4.5,4.8,15.2099999999999,9.9,9.6
AND,ECS,Andorra,HIC,43711.80078125,82431,31.2,8.1999999999999993,2.6,11.6,35.1,11.3
ARE,MEA,United Arab Emirates,HIC,67119.1328125,9770529,39,4,3,10,25,19
ARG,LCN,Argentina,HIC,23550.099609375,42981516,38.74,3.16,1.84,15.36,13.96,14.61
ARM,ECS,Armenia,UMC,11019.8388671875,2906220,57,3.2,3.4,17.399999999999999,6.7,11.4
ASM,EAS,American Samoa,UMC,11113.4423828125,55599,19.7,3.4,7.9,25.6,26.4,12.8
ATG,LCN,Antigua and Barbuda,HIC,17965.501953125,96777,46,7,7,12,15,13
AUS,EAS,Australia,HIC,47784.1796875,23789338,48.44,3.81,19.38,3.46,17.3,7.61
AUT,ECS,Austria,HIC,56029.61328125,8877067,31.4,7,4.4000000000000004,18.5,19.7,11.1
AZE,ECS,Azerbaijan,UMC,14853.91015625,9649341,45.19,5.28,3.49,13.729999999999899,10.93,7.87
BDI,SSF,Burundi,LIC,839.77850341796795,6741569,81,2.9,2.1,3.2,7.3,3.5
BEL,ECS,Belgium,HIC,51914.9140625,11484055,14.18,3.1,1.91,40.14,18.38,13.94
BEN,SSF,Benin,LIC,2227.35229492187,5521763,52.1,1.6,1.6,34.299999999999997,3.1,7.3
BFA,SSF,Burkina Faso,LIC,1925.33117675781,18110624,21,1,1,61,7,9
BGD,SAS,Bangladesh,LMC,3195.73706054687,155727056,80.579999999999899,0.44,0.5,8.59,3.04,4.67
BGR,ECS,Bulgaria,UMC,22279.361328125,7025037,24.35,5.83,1.98,17.93,14.18,12.15
BHR,MEA,Bahrain,HIC,47937.77734375,1425171,59.1,3.4,2.1,15.2,12.8,7.4
BHS,LCN,"Bahamas, The",HIC,35400.08203125,386838,46,7,7,12,15,13
BLR,ECS,Belarus,UMC,18307.51953125,9489616,30,8,2,35,5,12
BLZ,LCN,Belize,UMC,7259.0244140625,359288,47,8,5,5,16,19
BMU,NAC,Bermuda,HIC,80982.3671875,64798,17,9,6,26,29,13
BOL,LCN,Bolivia,LMC,7984.41357421875,10724705,55.196911196911103,2.9034749034748999,2.5019305019305,22.702702702702702,6.5019305019304996,10.1930501930501
BRA,LCN,Brazil,UMC,14596.24609375,208494896,51.4,2.4,2.9,16.7,13.1,13.5
BRB,LCN,Barbados,HIC,15444.74609375,280601,18.3,3.7,4.9000000000000004,5.7,19.7,17.100000000000001
BRN,EAS,Brunei Darussalam,HIC,60865.98828125,423196,36,3,4,15,18,16
BTN,SAS,Bhutan,LMC,6743.01611328125,686958,58,4,1,7,17,13
CAN,NAC,Canada,HIC,47672.078125,35544564,24,6,13,8,47,3
CHE,ECS,Switzerland,HIC,68394.2890625,8574832,29,4,3,29,20,15
CHL,LCN,Chile,HIC,20361.71484375,16829442,53.3,6.6,2.2999999999999998,16,12.4,9.4
CHN,EAS,China,UMC,16092.30078125,1400050048,61.2,2.1,1.1000000000000001,13.1,9.6,9.8000000000000007
CMR,SSF,Cameroon,LMC,3262.763671875,21655716,83.4,0.1,0.7,10.4,2.1,3.3
COL,LCN,Colombia,UMC,12523.0068359375,46406648,59.58,2.35,1.1000000000000001,15.74,8.4,12.83
COM,SSF,Comoros,LIC,2959.5400390625,777424,50,2,4,22,7,5
CRI,LCN,Costa Rica,UMC,18168.71484375,4757575,58,1,2,7,21,11
CUB,LCN,Cuba,UMC,12984.7109375,11303687,68.900000000000006,4.5999999999999996,1.6,3,12.3,9.6
CYM,LCN,Cayman Islands,HIC,66207.4453125,59172,10.9,3.5,6.2,11.4,31.1,11
CYP,ECS,Cyprus,HIC,39544.68359375,1198575,41.47,2.66,3.25,10.07,25.7,14.77
CZE,ECS,Czech Republic,HIC,40836.328125,10669709,62.3,2.4,8.4,14.899999999999901,9.1,2.2000000000000002
DEU,ECS,Germany,HIC,53784.78125,83132800,30,10,1.4,17.7,24,13
DMA,LCN,Dominica,UMC,11708.6396484375,72400,45,8,5,14,12,16
